Match,Date,Vs,Ground,How Dismissed,Runs,4s,6s,B/F,S/R
1,23-12-2004,Bangladesh,MA Aziz Stadium,run out,0,0,0,1,0
2,26-12-2004,Bangladesh,Bangabandhu National Stadium,c Habibul Bashar b Mashrafe Bin Mortaza,12,2,0,11,109.09
3,27-12-2004,Bangladesh,Bangabandhu National Stadium,not out,7*,0,1,2,350
4,02-04-2005,Pakistan,Nehru Stadium (Kochi),c Naved-ul-Hasan b Arshad Khan,3,0,0,7,42.86
5,05-04-2005,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c Shoaib Malik b Mohammad Hafeez,148,15,4,123,120.33
6,09-04-2005,Pakistan,Keenan Stadium,c Kamran Akmal b Naved-ul-Hasan,28,5,0,24,116.67
7,12-04-2005,Pakistan,Sardar Patel Stadium,c Kamran Akmal b Shoaib Malik,47,4,1,64,73.44
8,15-04-2005,Pakistan,Green Park,c Younis Khan b Naved-ul-Hasan,11,1,0,16,68.75
9,17-04-2005,Pakistan,Feroz Shah Kotla,c Shahid Afridi b Arshad Khan,24,2,0,38,63.16
10,30-07-2005,Sri Lanka,Rangiri Dambulla International Stadium,b L Dilhara,2,0,0,7,28.57
11,31-07-2005,West Indies,Rangiri Dambulla International Stadium,not out,15*,1,1,11,136.36
12,03-08-2005,Sri Lanka,Rangiri Dambulla International Stadium,c & b T Dilshan,20,1,0,27,74.07
13,07-08-2005,West Indies,R Premadasa Stadium,not out,28*,1,2,13,215.38
14,09-08-2005,Sri Lanka,R Premadasa Stadium,lbw b U Chandana,7,0,0,11,63.64
15,26-08-2005,New Zealand,Queens Sports Club,c B McCullum b A Adams,2,0,0,5,40
16,29-08-2005,Zimbabwe,Harare Sports Club,c N Mahwire b A Ireland,56,2,4,46,121.74
17,02-09-2005,New Zealand,Harare Sports Club,not out,37*,3,2,27,137.04
18,04-09-2005,Zimbabwe,Harare Sports Club,not out,67*,1,3,63,106.35
19,06-09-2005,New Zealand,Harare Sports Club,lbw b S Styris,11,1,0,16,68.75
20,25-10-2005,Sri Lanka,Vidarbha Cricket Association Ground,c D Jayawardene b C Fernando,38,3,2,28,135.71
21,28-10-2005,Sri Lanka,Punjab Cricket Association Stadium,,DNB,,,,
22,31-10-2005,Sri Lanka,Sawai Mansingh Stadium,not out,183*,15,10,145,126.21
23,03-11-2005,Sri Lanka,Nehru Stadium (Pune),not out,45*,1,2,43,104.65
24,06-11-2005,Sri Lanka,Sardar Patel Stadium,lbw b D Zoysa,0,0,0,1,0
25,09-11-2005,Sri Lanka,Madhavrao Scindia Cricket Ground,,DNB,,,,
26,12-11-2005,Sri Lanka,Reliance Stadium,c sub b U Chandana,80,9,3,73,109.59
27,16-11-2005,South Africa,Rajiv Gandhi International Stadium,run out,17,1,0,28,60.71
28,19-11-2005,South Africa,M Chinnaswamy Stadium,,DNB,,,,
29,25-11-2005,South Africa,Eden Gardens,c J Botha b A Hall,14,0,0,26,53.85
30,28-11-2005,South Africa,Wankhede Stadium,c M Boucher b C Langeveldt,12,1,0,26,46.15
31,06-02-2006,Pakistan,Arbab Niaz Stadium,c Shoaib Malik b Mohammad Asif,68,11,1,53,128.3
32,11-02-2006,Pakistan,Rawalpindi Cricket Stadium,,DNB,,,,
33,13-02-2006,Pakistan,Gaddafi Stadium,not out,72*,13,0,46,156.52
34,16-02-2006,Pakistan,Multan Cricket Stadium,not out,2*,0,0,5,40
35,19-02-2006,Pakistan,National Stadium,not out,77*,6,4,56,137.5
36,28-03-2006,England,Feroz Shah Kotla,c P Collingwood b L Plunkett,20,2,0,28,71.43
37,31-03-2006,England,Nahar Singh Stadium,b A Flintoff,38,2,0,55,69.09
38,03-04-2006,England,Nehru Stadium (Margao),not out,13*,1,1,6,216.67
39,06-04-2006,England,Nehru Stadium (Kochi),not out,10*,1,0,13,76.92
40,12-04-2006,England,Keenan Stadium,c V Solanki b S Mahmood,96,10,3,106,90.57
41,18-04-2006,Pakistan,Sheik Zayed Stadium,b Shoaib Malik,3,0,0,10,30
42,19-04-2006,Pakistan,Sheik Zayed Stadium,b Naved-ul-Hasan,59,5,0,72,81.94
43,18-05-2006,West Indies,Sabina Park,c R Morton b D Bravo,18,2,1,11,163.64
44,20-05-2006,West Indies,Sabina Park,b J Taylor,2,0,0,7,28.57
45,23-05-2006,West Indies,Warner Park,run out,15,1,0,26,57.69
46,26-05-2006,West Indies,Queen's Park Oval,not out,46*,6,0,58,79.31
47,28-05-2006,West Indies,Queen's Park Oval,b W Hinds,14,2,0,19,73.68
48,18-08-2006,Sri Lanka,Sinhalese Sports Club Ground,,DNB,,,,
49,14-09-2006,West Indies,Kinrara Academy Oval,b J Taylor,2,0,0,10,20
50,16-09-2006,Australia,Kinrara Academy Oval,,DNB,,,,
51,20-09-2006,West Indies,Kinrara Academy Oval,b C Collymore,18,4,0,13,138.46
52,22-09-2006,Australia,Kinrara Academy Oval,c D Martyn b B Lee,23,0,1,34,67.65
53,15-10-2006,England,Sawai Mansingh Stadium,c P Collingwood b J Dalrymple,7,0,0,22,31.82
54,26-10-2006,West Indies,Sardar Patel Stadium,run out,51,1,2,65,78.46
55,29-10-2006,Australia,Punjab Cricket Association Stadium,lbw b N Bracken,28,2,0,23,121.74
56,22-11-2006,South Africa,Kingsmead,c M Boucher b A Nel,14,3,0,27,51.85
57,26-11-2006,South Africa,Newlands,c L Bosman b J Kallis,55,3,4,48,114.58
58,29-11-2006,South Africa,St George's Park,c sub b A Nel,26,4,1,21,123.81
59,03-12-2006,South Africa,SuperSport Park,c A Nel b M Ntini,44,2,2,49,89.8
60,21-01-2007,West Indies,Vidarbha Cricket Association Ground,not out,62*,3,4,42,147.62
61,24-01-2007,West Indies,Barabati Stadium,c & b D Smith,6,0,0,19,31.58
62,31-01-2007,West Indies,Reliance Stadium,not out,40*,1,3,20,200
63,08-02-2007,Sri Lanka,Eden Gardens,,DNB,,,,
64,11-02-2007,Sri Lanka,Madhavrao Scindia Cricket Ground,c M Maharoof b S Jayasuriya,48,1,0,68,70.59
65,14-02-2007,Sri Lanka,Nehru Stadium (Margao),not out,67*,4,0,74,90.54
66,17-02-2007,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,,DNB,,,,
