Match,Date,Vs,Ground,How Dismissed,Runs,4s,6s,B/F,S/R
1,18-08-2008,Sri Lanka,Rangiri Dambulla International Stadium,lbw b K Kulasekara,12,1,0,22,54.55
2,20-08-2008,Sri Lanka,Rangiri Dambulla International Stadium,c C Kapugedera b T Thushara,37,6,0,67,55.22
3,24-08-2008,Sri Lanka,R Premadasa Stadium,run out,25,4,0,38,65.79
4,27-08-2008,Sri Lanka,R Premadasa Stadium,b T Thushara,54,7,0,66,81.82
5,29-08-2008,Sri Lanka,R Premadasa Stadium,lbw b K Kulasekara,31,3,1,46,67.39
6,14-09-2009,Sri Lanka,R Premadasa Stadium,not out,2*,0,0,2,100
7,26-09-2009,Pakistan,SuperSport Park,c Umar Gul b Shahid Afridi,16,1,0,24,66.67
8,28-09-2009,Australia,SuperSport Park,,DNB,,,,
9,30-09-2009,West Indies,The Wanderers Stadium,not out,79*,9,2,104,75.96
10,25-10-2009,Australia,Reliance Stadium,c S Watson b A Voges,30,3,0,41,73.17
11,02-11-2009,Australia,Punjab Cricket Association Stadium,c G Manou b D Bollinger,10,1,0,16,62.5
12,15-12-2009,Sri Lanka,Madhavrao Scindia Cricket Ground,b U Welegedara,27,4,0,19,142.11
13,18-12-2009,Sri Lanka,Vidarbha Cricket Association Stadium,lbw b S Randiv,54,7,0,65,83.08
14,24-12-2009,Sri Lanka,Eden Gardens,c sub b S Randiv,107,11,1,114,93.86
15,27-12-2009,Sri Lanka,Feroz Shah Kotla,,DNB,,,,
16,05-01-2010,Sri Lanka,Shere Bangla National Stadium,c K Sangakkara b U Welegedara,9,1,0,12,75
17,07-01-2010,Bangladesh,Shere Bangla National Stadium,c & b Shakib Al Hasan,91,7,0,102,89.22
18,10-01-2010,Sri Lanka,Shere Bangla National Stadium,not out,71*,9,0,68,104.41
19,11-01-2010,Bangladesh,Shere Bangla National Stadium,not out,102*,11,0,95,107.37
20,13-01-2010,Sri Lanka,Shere Bangla National Stadium,c K Sangakkara b U Welegedara,2,0,0,8,25
21,21-02-2010,South Africa,Sawai Mansingh Stadium,c H Gibbs b J Morkel,31,1,0,46,67.39
22,24-02-2010,South Africa,Captain Roop Singh Stadium,,DNB,,,,
23,27-02-2010,South Africa,Sardar Patel Stadium,c M Boucher b D Steyn,57,4,1,71,80.28
24,28-05-2010,Zimbabwe,Queens Sports Club,run out,0,0,0,0,0
25,30-05-2010,Sri Lanka,Queens Sports Club,c C Fernando b S Randiv,82,4,0,92,89.13
26,03-06-2010,Zimbabwe,Harare Sports Club,c T Taibu b P Utseya,18,1,0,29,62.07
27,05-06-2010,Sri Lanka,Harare Sports Club,c B Mendis b T Thushara,68,5,0,95,71.58
28,16-06-2010,Bangladesh,Rangiri Dambulla International Stadium,st Mushfiqur Rahim b Shakib Al Hasan,11,0,0,22,50
29,19-06-2010,Pakistan,Rangiri Dambulla International Stadium,b Saeed Ajmal,18,1,0,27,66.67
30,22-06-2010,Sri Lanka,Rangiri Dambulla International Stadium,c K Sangakkara b M Maharoof,10,1,0,14,71.43
31,24-06-2010,Sri Lanka,Rangiri Dambulla International Stadium,c K Sangakkara b S Malinga,28,4,0,34,82.35
32,16-08-2010,Sri Lanka,Rangiri Dambulla International Stadium,c K Sangakkara b C Fernando,0,0,0,3,0
33,25-08-2010,New Zealand,Rangiri Dambulla International Stadium,c G Hopkins b T Southee,8,1,0,16,50
34,28-08-2010,Sri Lanka,Rangiri Dambulla International Stadium,c A Mathews b N Perera,37,5,0,57,64.91
35,20-10-2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,c J Hopes b J Hastings,118,11,1,121,97.52
36,28-11-2010,New Zealand,Nehru Stadium (Guwahati),c J How b A McKay,105,10,0,104,100.96
37,01-12-2010,New Zealand,Sawai Mansingh Stadium,c L Taylor b A McKay,64,8,0,73,87.67
38,04-12-2010,New Zealand,Reliance Stadium,not out,63*,6,2,70,90
39,07-12-2010,New Zealand,M Chinnaswamy Stadium,c K Mills b A McKay,0,0,0,2,0
40,10-12-2010,New Zealand,MA Chidambaram Stadium,c L Taylor b D Vettori,2,0,0,8,25
41,12-01-2011,South Africa,Kingsmead,c G Smith b D Steyn,54,2,1,70,77.14
42,15-01-2011,South Africa,The Wanderers Stadium,run out,22,1,0,34,64.71
43,18-01-2011,South Africa,Newlands,c A de Villiers b M Morkel,28,5,0,41,68.29
44,21-01-2011,South Africa,St George's Park,not out,87*,7,2,92,94.57
45,23-01-2011,South Africa,SuperSport Park,c A de Villiers b M Morkel,2,0,0,6,33.33
46,19-02-2011,Bangladesh,Shere Bangla National Stadium,not out,100*,8,2,83,120.48
47,27-02-2011,England,M Chinnaswamy Stadium,b T Bresnan,8,1,0,5,160
48,06-03-2011,Ireland,M Chinnaswamy Stadium,run out,34,3,0,53,64.15
49,09-03-2011,Netherlands,Feroz Shah Kotla,b P Borren,12,2,0,20,60
50,12-03-2011,South Africa,Vidarbha Cricket Association Stadium,c & b R Peterson,1,0,0,3,33.33
51,20-03-2011,West Indies,MA Chidambaram Stadium,b R Rampaul,59,5,0,76,77.63
52,24-03-2011,Australia,Sardar Patel Stadium,c M Clarke b D Hussey,24,1,0,33,72.73
53,30-03-2011,Pakistan,Punjab Cricket Association Stadium,c Umar Akmal b Wahab Riaz,9,0,0,21,42.86
54,02-04-2011,Sri Lanka,Wankhede Stadium,c & b T Dilshan,35,4,0,49,71.43
55,06-06-2011,West Indies,Queen's Park Oval,c C Baugh b R Rampaul,2,0,0,8,25
56,08-06-2011,West Indies,Queen's Park Oval,c K Pollard b D Bishoo,81,6,1,103,78.64
57,11-06-2011,West Indies,Sir Vivian Richards Stadium,lbw b D Sammy,0,0,0,1,0
58,13-06-2011,West Indies,Sir Vivian Richards Stadium,st C Baugh b A Martin,22,1,0,33,66.67
59,16-06-2011,West Indies,Sabina Park,run out,94,10,0,104,90.38
60,03-09-2011,England,Riverside Ground,b S Patel,55,4,0,73,75.34
61,06-09-2011,England,The Rose Bowl,c I Bell b G Swann,9,0,0,9,100
62,09-09-2011,England,Kennington Oval,c C Kieswetter b J Anderson,7,0,0,18,38.89
63,11-09-2011,England,Lord's,c C Kieswetter b G Swann,16,1,0,36,44.44
64,16-09-2011,England,Sophia Gardens,hit wicket b G Swann,107,9,1,93,115.05
65,14-10-2011,England,Rajiv Gandhi International Stadium,c K Pietersen b S Patel,37,0,0,63,58.73
66,17-10-2011,England,Feroz Shah Kotla,not out,112*,16,0,98,114.29
67,20-10-2011,England,Punjab Cricket Association Stadium,lbw b G Swann,35,5,0,30,116.67
68,23-10-2011,England,Wankhede Stadium,not out,86*,11,0,99,86.87
69,25-10-2011,England,Eden Gardens,b S Finn,0,0,0,5,0
70,29-11-2011,West Indies,Barabati Stadium,b K Roach,3,0,0,6,50
71,02-12-2011,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,c D Ramdin b R Rampaul,117,14,0,123,95.12
72,05-12-2011,West Indies,Sardar Patel Stadium,lbw b S Narine,20,3,0,30,66.67
73,08-12-2011,West Indies,Holkar Cricket Stadium,not out,23*,3,0,11,209.09
74,11-12-2011,West Indies,MA Chidambaram Stadium,c M Samuels b A Martin,80,5,0,85,94.12
75,05-02-2012,Australia,Melbourne Cricket Ground,c R Ponting b C McKay,31,3,0,34,91.18
76,08-02-2012,Sri Lanka,WACA Ground,run out,77,8,1,94,81.91
77,12-02-2012,Australia,Adelaide Oval,c P Forrest b C McKay,18,1,0,28,64.29
78,14-02-2012,Sri Lanka,Adelaide Oval,lbw b N Perera,15,1,0,25,60
79,19-02-2012,Australia,Brisbane Cricket Ground,c D Hussey b B Hilfenhaus,12,0,0,25,48
80,21-02-2012,Sri Lanka,Brisbane Cricket Ground,c K Kulasekara b N Perera,66,2,0,83,79.52
81,26-02-2012,Australia,Sydney Cricket Ground,c D Christian b S Watson,21,2,0,27,77.78
82,28-02-2012,Sri Lanka,Bellerive Oval,not out,133*,16,2,86,154.65
83,13-03-2012,Sri Lanka,Shere Bangla National Stadium,c H Thirimanne b M Maharoof,108,7,0,120,90
84,16-03-2012,Bangladesh,Shere Bangla National Stadium,b Abdur Razzak,66,5,0,82,80.49
85,18-03-2012,Pakistan,Shere Bangla National Stadium,c Mohammad Hafeez b Umar Gul,183,22,1,148,123.65
86,21-07-2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c sub b N Perera,106,9,0,113,93.81
87,24-07-2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c K Sangakkara b N Perera,1,0,0,5,20
88,28-07-2012,Sri Lanka,R Premadasa Stadium,c & b H Herath,38,2,0,65,58.46
89,31-07-2012,Sri Lanka,R Premadasa Stadium,not out,128*,12,1,119,107.56
90,04-08-2012,Sri Lanka,Pallekele International Cricket Stadium,lbw b A Pradeep,23,2,0,35,65.71
91,30-12-2012,Pakistan,MA Chidambaram Stadium,b Junaid Khan,0,0,0,5,0
92,03-01-2013,Pakistan,Eden Gardens,c Kamran Akmal b Junaid Khan,6,1,0,9,66.67
93,06-01-2013,Pakistan,Feroz Shah Kotla,c Younis Khan b Junaid Khan,7,1,0,17,41.18
94,11-01-2013,England,Saurashtra Cricket Association Stadium,c C Kieswetter b T Bresnan,15,1,0,22,68.18
95,15-01-2013,England,Nehru Stadium (Kochi),c I Bell b C Woakes,37,1,1,54,68.52
96,19-01-2013,England,JSCA International Stadium Complex,not out,77*,9,2,79,97.47
97,23-01-2013,England,Punjab Cricket Association Stadium,c & b J Tredwell,26,3,0,33,78.79
98,27-01-2013,England,Himachal Pradesh Cricket Association Stadium,c J Tredwell b T Bresnan,0,0,0,1,0
99,06-06-2013,South Africa,Sophia Gardens,c H Amla b L Tsotsobe,31,2,0,41,75.61
100,11-06-2013,West Indies,Kennington Oval,b S Narine,22,4,0,18,122.22
101,15-06-2013,Pakistan,Edgbaston,not out,22*,3,0,27,81.48
102,20-06-2013,Sri Lanka,Sophia Gardens,not out,58*,4,1,64,90.63
103,23-06-2013,England,Edgbaston,c R Bopara b J Anderson,43,4,1,34,126.47
104,30-06-2013,West Indies,Sabina Park,c C Gayle b D Sammy,11,0,1,21,52.38
105,02-07-2013,Sri Lanka,Sabina Park,c S Malinga b A Mathews,2,0,0,5,40
106,05-07-2013,West Indies,Queen's Park Oval,c D Sammy b D Bravo,102,13,2,83,122.89
107,09-07-2013,Sri Lanka,Queen's Park Oval,lbw b H Herath,31,4,0,52,59.62
108,11-07-2013,Sri Lanka,Queen's Park Oval,c K Sangakkara b R Eranga,2,0,0,5,40
109,24-07-2013,Zimbabwe,Harare Sports Club,c V Sibanda b P Utseya,115,13,1,108,106.48
110,26-07-2013,Zimbabwe,Harare Sports Club,c M Waller b K Jarvis,14,2,0,18,77.78
111,28-07-2013,Zimbabwe,Harare Sports Club,not out,68*,5,1,88,77.27
112,01-08-2013,Zimbabwe,Queens Sports Club,,DNB,,,,
113,03-08-2013,Zimbabwe,Queens Sports Club,,DNB,,,,
114,13-10-2013,Australia,Maharashtra Cricket Association Stadium,lbw b S Watson,61,6,0,85,71.76
115,16-10-2013,Australia,Sawai Mansingh Stadium,not out,100*,8,7,52,192.31
116,19-10-2013,Australia,Punjab Cricket Association Stadium,c B Haddin b G Maxwell,68,9,0,73,93.15
117,23-10-2013,Australia,JSCA International Stadium Complex,,DNB,,,,
118,30-10-2013,Australia,Vidarbha Cricket Association Stadium,not out,115*,18,1,66,174.24
119,02-11-2013,Australia,M Chinnaswamy Stadium,run out,0,0,0,3,0
120,21-11-2013,West Indies,Nehru Stadium (Kochi),c S Narine b J Holder,86,9,2,84,102.38
