Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,82.9,83.8,82.45,82.8,82.8,19904383.0,16526.18
2010-01-05,83.5,84.9,83.4,84.0,84.1,34197626.0,28820.01
2010-01-06,84.5,85.45,83.2,84.7,84.85,34704003.0,29360.29
2010-01-07,85.2,85.7,83.85,84.15,84.15,28855332.0,24461.35
2010-01-08,84.0,87.5,84.0,86.6,86.6,49805151.0,43006.54
2010-01-11,87.5,90.95,87.5,90.95,90.45,58093725.0,52041.06
2010-01-12,91.5,91.5,87.95,88.6,88.5,45771138.0,41039.62
2010-01-13,87.5,89.15,86.2,89.1,88.7,33541001.0,29364.43
2010-01-14,89.6,90.9,87.75,88.6,88.25,26570975.0,23767.97
2010-01-15,88.4,89.95,88.2,88.8,88.65,18120439.0,16135.89
2010-01-18,88.0,88.7,86.85,87.75,87.75,26663930.0,23383.5
2010-01-19,88.1,88.1,85.1,85.2,85.4,26340864.0,22819.33
2010-01-20,86.2,86.45,82.45,82.9,82.9,30927501.0,25943.69
2010-01-21,82.5,84.15,80.5,80.75,80.85,37757457.0,31029.36
2010-01-22,79.55,80.6,77.05,79.4,79.35,43956817.0,34744.81
2010-01-25,77.0,79.2,76.7,76.9,77.15,23243504.0,18095.33
2010-01-27,78.5,78.5,70.05,70.1,70.75,60519040.0,44106.11
2010-01-28,74.9,74.9,71.1,72.5,72.45,46387277.0,33664.93
2010-01-29,71.5,75.6,69.9,74.35,74.3,60122265.0,43514.99
2010-02-01,74.3,78.45,73.5,76.2,76.0,65996604.0,50595.82
2010-02-02,77.9,77.9,71.6,72.75,72.55,53031822.0,39712.16
2010-02-03,73.5,75.5,72.85,74.5,74.6,36542378.0,27133.98
2010-02-04,73.8,74.25,70.75,71.45,71.2,36342513.0,26363.49
2010-02-05,69.5,70.25,67.6,68.9,68.95,43389362.0,29882.95
2010-02-06,69.0,71.3,69.0,70.85,70.85,5374235.0,3790.48
2010-02-08,70.9,72.6,69.4,71.55,71.45,38074270.0,27107.0
2010-02-09,71.05,71.75,70.0,71.05,71.05,39625852.0,28094.86
2010-02-10,71.65,73.9,71.15,72.05,72.1,46988542.0,34139.34
2010-02-11,72.5,75.6,72.5,74.75,74.8,41062270.0,30616.87
2010-02-15,75.0,76.0,73.1,75.3,75.3,38801826.0,29005.35
2010-02-16,74.7,75.9,73.9,75.4,75.1,20866162.0,15597.9
2010-02-17,75.4,76.45,74.1,74.8,74.6,22278503.0,16762.11
2010-02-18,74.95,75.0,70.55,70.65,71.05,54213895.0,39070.08
2010-02-19,70.0,70.5,68.05,70.3,70.2,55722303.0,38644.48
2010-02-22,72.0,72.25,68.1,68.25,68.5,40337265.0,28215.8
2010-02-23,68.5,69.7,67.25,69.5,69.25,28285097.0,19489.28
2010-02-24,68.9,71.2,67.95,70.95,70.9,32214549.0,22559.03
