bugId,description,severity
3638,Package Viewer: order resource folders before resources? (1GDGLP6),major
3854,Wrong execution's classpath. (1GEY0W0),minor
4188,type hierachy - typo (1GJW2XJ),minor
5115,Workspace source locator fails with mulitple package fragments,minor
5820,Close all editors brings up hierarchy of object,minor
6441,"""Plugins containing only Jars"" logis reverted",minor
7329,"Outline view: wrong spelling ""Add JavDoc Comment""",minor
7966,Class Creation Dialog generates syntax error,minor
8224,Organize imports adds explicit import to wildcard import,minor
8280,Package view back/forward/up arrow hover help,minor
10929,All types cache is flushed to frequently,minor
24911,quick fix: NPE on 'change visibility to default' [quick fix],major
30991,NPE in New Java Project Wizard,major
32831,NPE buildpaths.CPVariableElement.equals(),minor
43518,Stepping through session bean is very slow in WSAD v5.1,major
44425,Illegal code in the code formatter preference page [code formatter],major
188521,[Webapp] Test F1: 2)  Standalone infocenter not accessible through browser,minor
6341,NullPointerException from ReorgGroup,minor
7046,NPE trying to show context menu on method in Outliner,minor
7317,ClassCastException during move,minor
7639,NPE when renaming a local variable,minor
7873,Bogus error messages,minor
8023,coreexception when draging packages to its own parent,major
8129,NPE in Extract Local Variable,minor
8730,wrong method deleted (packages view),major
11424,"ArrayIndexOutOfBoundsException at ""Expand Selection to Previous Element""",minor
16283,Add from Local History items are unsorted,major
18071,Package Viewer: Too many refreshes,major
18079,We must guard our Action against a Java editor not working on a CU,major
18276,Java Search action set is missing the name for the menu,minor
18581,Single element view - markers from other elements shown,major
19007,Assertion failure when copy/pasting import statement,major
23717,Assertion violation  when editing primary type declaration,minor
25914,Method signature refactor does not update Outline,major
31114,Moving linked resource onto self deletes linked resource,major
31244,Renaming linked source folder copies content,major
351426,[1.7][code assist] CompletionContext.getExpectedTypesKeys() returns wrong type,minor
2854,Compare: Save code path problematic (1GJYGAX),minor
6525,wrong indent when using replace from local history,minor
6668,'Replace from History' doesn't use source range from working copy,minor
13730,Entire zipfiles content sent prior when computing synchronization view content,major
15294,Deleting an open unsaved resource causes error,minor
15763,File Deleted dialog when renaming a file using Refactoring,minor
16488,Missing message for missing jar,minor
16709,Background file change not loaded when two editors open,major
16733,Builder pref - Cannot exclude folder from resource copying,minor
16811,J Working Sets not persisted,major
18807,Compare with patch fails due to missing LF,major
136087,Cannot replace with local history due to NoClassDefFoundError,major
141082,CompareEditor.setInput() does not notify ISaveablesLifecycleListener,major
429301,Workspace selection screen broken in N20140228-0245,major
151683,[extract superclass] Extract Superclass without 'Use the extracted class' removes code,major
15983,clicking on white space collapses tree,minor
66801,"""Reconciling"" an installation with multiple versions of the automatically started plugins fails",major
120582,[DataBinding] Current validators mix data type conversion and business rule validation concerns,minor
121939,[Viewers] TreeSelection should subclass StructuredSelection,major
123375,[DataBinding] Enhancements to the data binding framework,minor
126839,[DataBinding] IObservable refactoring,minor
134727,[WorkbenchParts] Double save prompt with view that implements ISaveablePart,minor
136855,[IDE] Deadlock caused by IDEIdleHelper and HeapStatus calls to runFinalization from UI thread,major
138608,[Viewers] JFace AbstractTreeViewer: itemExists doesn't handle equal tree entries,major
141191,[WorkbenchParts] ISaveablePart2 prompting does not happen when closing a perspective,major
164475,[Viewers] v3.2/v3.3 TableViewer sort performance much slower than v3.0.1,minor
171612,[Viewers] Breaking API change: DecoratingLabelProvider no longer extends LabelProvider,major
172640,[Viewers] Virtual TreeViewer/ILazyTreePathContentProvider: preservingSelection and refresh not always working,minor
175181,NavigatorSaveablesServices NPEs on shutdown,major
180363,[LinkedResources] No way to create a linked resource based on a variable,major
181061,[Viewers] JFace viewers performance issues in 3.3,major
7028,ArrayIndexOutOfBoundsException by org.eclipse.swt.graphics.GC.drawImage(),major
15575,Tree with checkbox items are not accessible,major
92704,Classcast exception from Registers View,major
136223,Suspended thread does not show stackframe/missing thread labels,minor
138527,"Actions under the ""Run"" menu are incorrectly enabled at startup",major
139853,NPE in asynch tree viewer,minor
81424,NPE in PropertiesSpellingReconcileStrategy,minor
29867,"DBCS: Select project ""Properties"" cause core dump in GTK",major
56667,Minimization of top Shell widgets impossible (SWT.MIN & SWT.NONE) on PocketPC (BBAWT),major
4225,EC: bug in undo command (1GLE02N),minor
5420,Eclipse crash after after NPE during code assist (template),major
5533,Intempestive code assist scenario,minor
6322,All types dialog shows obfuscated classes,minor
6589,"ctrl+insert, shift+insert incorrectly flips the insert/overwrite bit",minor
6603,Index out of bounds at template preference page,minor
6696,Code completion should indicate deprecated methods,minor
8085,template pref page: exception while importing incorrect file,minor
60918,[KeyBindings] Some key bindings not working,major
77462,CVS Plug-in fails to start,major
36267,[Key Bindings] Key binding and unknown command (conflict),major
40170,[Commands] Workbench.restart() throws a null pointer,major
182065,ClassCastException expanding inspect expression,minor
406608,PDE has renamed LauncherUtils.clearWorkspace(),minor
432847,[Contributions] Duplicate view toolbar buttons; menu enablement problems in Git Repositories view,major
433197,[CSS] After switching the CSS theme the DND handles disappear from the trim bars,major
433830,Part's background color is wrong,major
434134,[CSS] Active part's 2nd line toolbar background color looks wrong,minor
5476,TVT Text extension/truncation problem in jar packager,minor
6580,Not possible to select a main class in export jar wizard,minor
17273,Reconcile with errors - incorrect problem merging,major
17277,Java Editor: converting line delimiters and undo,major
17423,Revert apears twice in the popup menu.,major
17536,NPE in compare,major
18085,"Using ""h"" mnemonic in file or java search page switches to Help page",minor
19108,Type Hierarchy: Icons shown as red squares,major
19261,Text search should not use TEXT from team,major
25900,NPE in CompilationUnitEditor,major
30380,Show outline doesn't get focus,major
62840,NPE while pasting,major
67424,Deadlock in AnnotationPainter,major
86177,"[implementation][preferences] crash with non-""system default"" foreground/background colors",major
89013,Changes to ResultCollector --> API,major
89393,[Undo] - Rename CU scenario - undo becomes disabled in renamed editor,major
92070,[typing] Undo runs on wrong editor,major
109104,Editor save does not write to disk (intermittent),major
109168,Selection automatically jumps to warning inside the selected source range,major
125013,[misc] deadlock in PreferencesAdapter.firePropertyChangeEvent,major
135515,2 ASTs created while typing,major
467309,NPE in LaunchViewBreadcrumb.dispose,major
1546,Remote Evaluation (AST evaluation),minor
1567,Full build caused hot code replace failure (1GDH1CH),major
1635,README: Attach launching not working with debug element selection (1GF5ZQC),major
1655,BUG - Timing out on toString; total redraw of debug view (1GG8SQJ),minor
1665,Drop to frame hangs if after invoke (1GH3XDA),minor
1682,Inspected variable children not always updating (1GIGIX5),minor
1693,JDT conditional breakpoints (1GIVKP1),minor
1700,JSP Support for 2.0 (1GJ8LK3),minor
1701,IDE not activated when target closed (1GJ8NOD),minor
1737,Feature: filter static initializers (1GKQHTT),minor
1759,Widget is disposed error on breakpoint properties (1GLE3NA),major
4576,"Thread suspend/resume errors in classes with the ""same"" name",minor
4951,Breakpoints remain installed after target terminates,minor
4952,Multiple breakpoints on the same line,minor
4955,Hit count breakpoint does not re-enable,minor
5083,Breakpoint not hit,minor
5129,Copy is disabled in the console,major
5162,1.0 -- JSP breakpoints don't get removed,minor
5163,Launcher Timeouts on Win98,minor
5257,Set breakpoint takes very long,minor
5260,TVT: Properties view for debug process is missing substitution variable,minor
5307,TVT1: Hardcoded category name in Debug (org.eclipse.debug.ui\plugin.xml),minor
5340,Cancelling add exception breakpoint has no effect,minor
5349,ClassCastExceptions caused by BreakpointManager,major
5467,Bad import in LocalEvaluationEngine,minor
5495,Breakpoint not installed if filename has underscore,major
5623,JDK 1.4 hot swap,minor
5630,Drop to frame does not re-select top stack frame,minor
5631,Breakpoint not reinstalled after hot swap,minor
5666,Breakpoints do not work on class with native methods,minor
5686,Launch/Run actions should be available on menubar,minor
5791,NPE in SocketUtil,minor
5854,Breakpoint marker deleted without notifying breakpoint object,minor
5896,NPE out of LaunchManagerVisitor on shutdown,minor
5941,hot swap fails when native method on stack,major
6089,display view code assist cotext should be receiving type,minor
6187,Hot swap in main causes Eclipse to crash,major
6212,Debug view toolbar/menu pollution,major
6216,Help for debug views in 1.0,minor
6248,Insufficient error reporting in JavaApplicationLauncher,major
6326,JDI: VirtualMachine.classesByName() fails for arrays,minor
6393,No stack frames shown after breakpoint hit,major
6408,Attempts to set breakpoint on unsaved resource fails,minor
6437,Timeout when launching,major
6519,Evaluation failed message for deprecated method,minor
6548,Missing mnemonics in Debug preferences,minor
6576,Efficiency - use computeStackFrames internally,minor
6582,VMPreferencePage - CheckboxTableViewer has no columns anymore,major
6613,Drop frame above native frame does not work on 1.4,minor
6640,Method ID of 0 is valid JDWP,minor
6746,Class cast exception during hotswap,major
6954,Use new workbench API for openning perspective,minor
6955,Java launch config should support classpath/bootpath,minor
7003,Debug With menu launches incorrect program (not finding selection),minor
7167,NPE shutting down in abstract debug view 'save state',minor
7209,Run to line is broken,minor
7507,debugger keyboard shortcuts do not work in 20020109,minor
7513,Terminate and remove fails to remove when timeouts occur,minor
7578,.metadata launch files not in correct location,minor
7580,NPE out of AbstractDebugEventHandler on shutdown,minor
7626,Widget is disposed error relaunching,minor
8005,Terminate & Remove disabled,minor
8012,"Smart frame dropping is slow, and no busy cursor",minor
8013,No failure message when frame dropping failed after HotSwap,minor
8053,Debug view actions do not update after evaluation completes,minor
8059,NPE out of ControlActionDelegate,major
8245,Launch preferences page problems,minor
8318,"internal error occured, if open the menu ""Debug -> Debug History""",major
8323,Debugger Source Lookup dialog : minor fixes,minor
8388,NPE from HCR Manager,major
8457,Stepping in obsolete methods should be disabled,minor
8679,Hit count ignored on breakpoints,minor
8966,Debug Perspective is not automatically select the servlet thread,minor
9079,Pattern breakpoints show as <unknown>,minor
9111,Invalid thread access running test suite,minor
9194,Attempting to modify locked resource tree in BreakpointManager,minor
9421,NPE out of the LaunchView on shutdown with running target,minor
9424,JavaDebugOptionsManager attempting to modify resource in resource change callback,minor
9523,redundant menu entry in variables view,minor
9618,Terminated targets not updating,major
9626,ConcurrentModificationException in JDIDebugTarget#canSuspend(),major
9652,IllegalArgumentException out of Console,major
9668,Method breakpoints enabled for source methods,major
9845,Remove All action activation in ExpressionsView,minor
9902,ImageDescriptorRegistry must empty hash map in dispose,minor
10096,Eclipse not aware of launched JVM (JRockit 3.1.3),major
10218,breakpoint change mechanism,minor
10255,Single click launching should not be the default,minor
10281,ClassPrepare events swamping system,major
10282,Rendering of changed variables,minor
10377,ClassCastException in LaunchConfigurationHistoryElement,major
10417,inspect/display to not work in snippet editor,major
10424,NPE in snippet editor,minor
10506,NPE in launch view,minor
10566,Copy value in variables view should work with CTRL-C,minor
10586,Use new workbench selection service,minor
10736,Breakpoint#ensureMarker failing,minor
10758,utilize classpath variable initializers,minor
10816,Debugging tries to show itself in resources perspective(?),minor
10839,Java launch config: main type checks are too constraining,minor
10855,Use new workbench API  for show perspective,minor
11032,Launch configuration enviroment variables added with no action from user,minor
11060,JDIFieldVariable.setValue(IValue) fails for static fields,minor
11303,Deadlock on startup processing breakpoints,major
11733,duplicate shared config after close & restart,minor
11899,Launch config name collission,minor
12208,NPE in AST eval,major
12209,AST Eval engine API not fully implemented,minor
12211,copyright statements incorrect,minor
12609,Eval with error causes eval timeout,major
12784,String.startsWith(String) creates bad compilation error,minor
12981,Launcher - listed name does not match given name,minor
13307,NPE in launch configs,minor
13317,New Configuration menu empty,minor
13388,Exception evaluating method with array type parameter,minor
13440,menu reorganization,minor
13480,NPE creating Java Project when running Runtime Workbench,minor
13584,Attempting to create breakpoints while resource tree locked,minor
13674,ClassNotPreparedException from uninitialized inner types,minor
13714,Pressing Apply makes tabs disappear,minor
13798,Disallow evaluations that require local type signatures,minor
13866,ClassCastException with instanceof conditional breakpoint,minor
13920,NPE evaluating in local type in field declaration,minor
15372,NPE launching target eclipse,minor
15522,"Rename Debug menu to ""Run""",minor
15531,"Support ""default JRE""",minor
15678,Drop to Frame not updating UI/stack frames correctly,minor
15735,Debugger can modify resources during POST_AUTO_BUILD resource changed notification,minor
15850,LaunchView changes required from platform ui changes,minor
16350,NativeMethodException from line location request,minor
16764,Debug Perspective leaks actions,minor
16880,Code assist does not work in expression view,minor
16955,NPE opening java perspective.,major
17069,NPE deleting project with shared config,minor
17095,ResourceException when closed projects in workspace,minor
17380,Launch history maintains duplicate entries,minor
17676,Run menu history menus not updated after organize favorites,minor
17751,InvalidStackFrameException(s) after a StepOver,minor
17865,"Wrong ""this"" context in evaluation & expression view",minor
18099,Change provider name,minor
18100,Internal error in Lauch Configurations dialog.,major
18188,Inspect is broken,major
18385,NPE during launching after removing the launch info,major
18789,Source editor not given focus on suspend,minor
19170,LaunchConfigurationDialog etc leakage when last launched is Runtime,minor
19182,Disconnect debug session crashes WebSphere,major
20930,Large bug in BreakpointManager,major
22390,IBM 1.4 VMs don't have rt.jar,minor
23340,[ExternalTools] ArrayIndexOutOfBounds exception when running ant in a build,minor
23565,Code assist in conditional expression,minor
23762,NPE - variable details stop showing,minor
24100,LaunchConfigurationWorkingSetPage.setSelection should work without container being set,minor
24302,Problems with non-externalized String warnings,minor
24367,LaunchingPlugin.buildProjects,minor
24587,Project properties not set properly if no arguments passed,minor
24696,ExternalTools antrunner.jar is still in the HEAD stream,major
25860,Ant runner sets basedir incorrectly,minor
27281,The watch expressions don't persist across workbench invocations,major
27541,Cannot add an Ant External Tool Builder,major
27841,Ext tool builders have wrong icon and NPE'd,major
27846,Cannot add new ext tool builer,major
29269,ClassNotFoundException: TaskLineTracker,major
34138,Invalid thread access during JDT Debug UI plugin startup,major
41506,NPE attempting to create watch expression,major
47308,Add Ant task error in preferences in 3.0M5,major
47949,Nothing added to launch history,major
60327,Review LaunchViewContextListener multi-window behavior,minor
