mfname,aum,ret_1yr,ret_2yrs,ret_3yrs,ret_5yrs
LIC NOMURA Index Sen Adv-Direct (G),0.09,15.5,25.8,--,--
LIC NOMURA Index - Sensex Adv (G),1.46,14.8,25.1,18.6,10
Indiabulls Blue Chip Fund - Dir (G),10.89,11.6,11.5,13.9,--
Escorts Leading Sectors -Direct (G),0.52,11,26.2,27.5,--
Escorts Leading Sectors (G),2.24,10.9,25.9,27.1,17
SBI Blue Chip Fund - Direct (G),1256.49,10,19.4,22.5,--
Indiabulls Blue Chip Fund (G),397.05,9.4,9.6,12.2,--
Escorts Growth Plan - Direct (G),0.41,8.7,17.5,25.9,--
Escorts Growth Plan (G),6.12,8.7,17.3,25.5,12.9
SBI Blue Chip Fund (G) ,5981.62,8.7,18.3,21.5,16.2
JM Core 11 Fund -Direct (G),0.5,8.1,11.3,19.5,--
SBI Magnum Equity Fund - Direct (G),410.5,7.3,14.1,17.6,--
Kotak Select Focus Fund - Direct (G),619.02,7.1,17.2,23.1,--
SBI Magnum Equity Fund (G) ,1797.18,6.5,13.3,16.8,12.6
Birla SL Frontline Eqty-Direct (G),1591.61,6.1,12.6,19.9,--
Kotak 50 - Direct Plan (G),282.15,6,14.7,17.7,--
Kotak Select Focus Fund - Regular (G) ,3251.55,6,16.1,22.1,15.3
JM Core 11 Fund (G),24.86,5.9,9.7,18.1,9.8
Birla SL Top 100 - Direct (G),167.8,5.6,11.4,21,--
HSBC Equity Fund - Direct (G),200.89,5.3,6.3,14.7,--
Franklin (I) Bluechip - Direct (G),3022.11,5.2,13.3,17.1,--
DHFL Pramerica LCF -Direct (G),9.36,5.1,13.2,18,--
Birla SL Frontline Equity (G) ,8459.31,5,11.5,18.8,13.9
HSBC Dynamic Fund - Direct (G),0.61,4.8,7.8,12.9,--
Tata Large Cap Fund - Direct (G),91.09,4.7,11.4,16.5,--
Kotak 50 - Regular Plan (G) ,988.4,4.6,13.4,16.6,11.7
HSBC Equity Fund (G),416.98,4.6,5.6,13.9,8.4
Birla Sun Life Top 100 (G) ,1570.5,4.5,10.4,20,14.1
Franklin India Bluechip (G) ,4896.74,4.4,12.4,16.1,11.4
JPMorgan India Equity - Direct (G),2.44,4.1,12,18.9,--
UTI Equity Fund - Direct (G),1188.93,4.1,13.1,18.5,--
HSBC Dynamic Fund (G),51.74,4.1,7.1,12.1,7
ICICI Pru Focused Bluechip Eqty-IO ,0.01,4.1,10.4,17.8,13.6
ICICI Pru Focused. Blue -Direct (G),1441.3,4.1,10.4,17.7,--
BOI AXA Equity Fund - Direct (G),4.12,3.9,9.8,16.4,--
UTI Equity Fund (G) ,4960.45,3.7,12.6,18.1,13.7
Edelweiss Prudent Advantage - Direct (G),0.27,3.7,12.1,16.2,--
DHFL Pramerica LCF -WP (G),0.09,3.6,11.9,16.9,11.3
DHFL Pramerica LCF -RP (G),98.29,3.6,11.9,16.8,11.3
Union KBC Trigger Fund - Sr2-DP (G),27.91,3.5,--,--,--
